module,game_version,rva,length,auto_name,function_name,namespace,content_hash,signature,signature_source,decompile_quality,edge_reason
WHGame.dll,release_1_5_1164953_841,0x1600004,42,FUN_181600004,,,d0db171d6b6e88b6d83474b3758ae05ca6a12c4093dfbb486ee946283b084c24,undefined FUN_181600004(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600030,68,FUN_181600030,,,22ff347398f1ffcec6a6c977cc2bdc8445772f0ef4bd21a790bfc719338fa94e,undefined FUN_181600030(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600074,417,FUN_181600074,,,a990a5a0f07847acfe34deb90a24eab6ade92aeb792d56d99be4721d5e30ead1,undefined FUN_181600074(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600194,40,FUN_181600194,,,a45ea1bd1fd96548be38140ca17e021f2609ae56acffbaed66764d40c7f83a73,undefined FUN_181600194(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16001bc,42,FUN_1816001bc,,,d3449810332e2ca613c43fb69faaf4bd2fac68cbd48f57339412b82949b29dcf,undefined FUN_1816001bc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16001e8,328,FUN_1816001e8,,,2703cabbf62d7df0d05f8a89f5bd0307d746557736f2cb453a349ecd8bbc88ca,undefined FUN_1816001e8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600334,100,FUN_181600334,,,13d37315144e8b2fbdecc2f89f2314c75c8c50d3d9b629887fca55d8ccbc06c4,undefined FUN_181600334(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600398,109,FUN_181600398,,,bb3a4e72a2d9134feab13dbc1658cca7c7c51407083ac188bab7575723fcb0da,undefined FUN_181600398(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600408,207,FUN_181600408,,,dd637d00be0a8062dec01cd1d3bc6b73ca651dfe1626af913b9029e49d71aed2,undefined FUN_181600408(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16004d8,105,FUN_1816004d8,,,69c40a06fcb7aaac57f05d7c46755a36e2b581ab86bfcb907a25bc1ed66d3667,undefined FUN_1816004d8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600544,41,FUN_181600544,,,0be7f3743e97d0557d41b0e584cabcb327408ba750811e172afbf271e6442571,undefined FUN_181600544(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600570,66,FUN_181600570,,,dd99507887aca9632830df0ff17cdcec94a1b78ff144b72235ed1f50b348ba40,undefined FUN_181600570(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16005b4,34,FUN_1816005b4,,,085e18f2efad666ed1075598ccb103ac2f2fb6fd3315cbaa2744994c7877ca54,undefined FUN_1816005b4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16005d8,90,FUN_1816005d8,,,e679598952d0732f1257b667081a7a47174f414f99cd7960122a2aaf3b36f845,undefined FUN_1816005d8(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600634,234,FUN_181600634,,,75e873f20ad8fc478a1630748e4a5f3882e6962a03e263f5f6f37821cadc5136,undefined FUN_181600634(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600720,207,FUN_181600720,,,ee1edc0be94b5a93b7d5fb7edd6cf667af1b74856eceafc76e4f933066690438,undefined FUN_181600720(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16007e0,251,FUN_1816007e0,,,5aa0ebc4d11791b2ec4eb6396553060b205fb50380f3d076c42e11beea3f574e,undefined FUN_1816007e0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16008dc,196,FUN_1816008dc,,,0c644ee49b53ace2b9245ca21e3649a0bf73d048c0cf807c210b71e3fa4d5a14,undefined FUN_1816008dc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16009a0,234,FUN_1816009a0,,,2bbe201f0e3a512af28fcca02300a0158937ee4bbc6ccc31d3d50646050cfd7d,undefined FUN_1816009a0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600a8c,234,FUN_181600a8c,,,bcf96173367451a43bd12af9e74d1c63463a34936c908f7a3298bb2193d51a94,undefined FUN_181600a8c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600b78,190,FUN_181600b78,,,758ead0e1eefc091222a9e250b2b9f6859161084293a1176d05e85036e2b3228,undefined FUN_181600b78(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600c24,190,FUN_181600c24,,,f03637908ab47e982e6932490898296c8f8e6016902b6875a7bbdec1547b39c3,undefined FUN_181600c24(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600cd0,251,FUN_181600cd0,,,d9656ff069ffe5d946105e95ba3a60805ff41e5f31014329b9fb39bf890363e7,undefined FUN_181600cd0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600dcc,196,FUN_181600dcc,,,c24985c329b65dc08c0932b32c513d6cac144c7e634cf262ec7960d9659134e1,undefined FUN_181600dcc(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600e90,251,FUN_181600e90,,,7c006304dff26c9502733504579a7138aa188e5fa3b870d784def435e03210af,undefined FUN_181600e90(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1600f8c,196,FUN_181600f8c,,,b9d65ab94ec0e217fdeb96a27e8cfcf39563f154666ea05a67dfba980c03e09d,undefined FUN_181600f8c(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1601050,80,FUN_181601050,,,bdfebb9350afcb6f4c5244cd6b7024df73d661588b10bacf479489082bc069cb,undefined FUN_181601050(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16010a0,85,FUN_1816010a0,,,22e728cfa4677ab63a16462e8f27aec3e3ec162755cae9fff792832dda025403,undefined FUN_1816010a0(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16010d4,22,FUN_1816010d4,,,c3936e681fc8487283f38b376c6bf23845ff1e382c104ef33d32ae31afdcafcf,undefined FUN_1816010d4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16010ec,26,FUN_1816010ec,,,819234953c91d716a341edb10dcca2267107efa13f78881bbca64f4a7a11eeca,undefined FUN_1816010ec(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1601108,155,FUN_181601108,,,749a2e0c9af70b304a032d067c46e6293f5b56156c27dda0c73f04120ea0308a,undefined FUN_181601108(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16011a4,304,FUN_1816011a4,,,c139e3b57e9b2fac80acf15770b7c5bbf8d4827c114ba4fd77e2f264c7267c94,undefined FUN_1816011a4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16012d4,335,FUN_1816012d4,,,6aaec926e21df161cfcc0929f97812f00bba4d585ecb828ea703a8352d689328,undefined FUN_1816012d4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16013c2,8,FUN_1816013c2,,,d584cb1a2afef309eb33a9b90753d6c9a99b0c481366318ccddcba175a3b8c54,undefined FUN_1816013c2(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x16013d4,155,FUN_1816013d4,,,da38ce08c9deb686a805d2865891f1d97ee388971ddaa69ede5f53248986546e,undefined FUN_1816013d4(),ghidra,clean,
WHGame.dll,release_1_5_1164953_841,0x1601470,23,FUN_181601470,,,5a253613ae2c8c15dc10fa4cd8a1ac5c117dd9cd21cd905320c7ac6dc8f2b3c9,undefined FUN_181601470(),ghidra,clean,
