name,rva,n_matches,prologue_pattern
lua_isuserdata,,0,48 83 EC 28 E8 ?? ?? ?? ?? 8B 48 08 83 F9 07 74 0C 83 F9 02 74 07 33 C0
lua_lessthan,0x039930E8,1,40 53 48 83 EC 20 45 8B D0 4C 8B D9 E8 ?? ?? ?? ?? 41 8B D2 49 8B CB
lua_load,,0,48 89 5C 24 08 57 48 83 EC 50 49 8B D9 48 8B F9 4D 8B C8 4C 8B C2
lua_newstate,,0,48 89 5C 24 10 48 89 74 24 18 57 48 83 EC 20 48 8B FA 48 8B F1 48 8B CF
lua_newthread,,0,40 53 48 83 EC 20 48 8B 51 20 48 8B D9 48 8B 42 70 48 39 42 78 72 05
lua_newuserdata,0x00B9D0C0,1,48 89 5C 24 08 57 48 83 EC 20 4C 8B 41 20 48 8B FA 48 8B D9 49 8B 40 70
lua_next,0x0071F4BC,1,40 53 48 83 EC 20 48 8B D9 E8 ?? ?? ?? ?? 4C 8B 43 10 48 8B CB
lua_objlen,0x00B9D764,1,40 53 48 83 EC 20 4C 8B D1 E8 ?? ?? ?? ?? 48 8B D8 44 8B 40 08
lua_pcall,,0,48 89 5C 24 08 57 48 83 EC 40 41 8B F8 44 8B D2 48 8B D9 45 85 C9 75 04
lua_pushboolean,,0,4C 8B 41 10 33 C0 85 D2 0F 95 C0 41 89 00 41 C7 40 08 01 00 00 00
lua_pushcclosure,0x00B9D11C,1,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 4C 8B 49 20 48 8B F2
lua_pushfstring,0x03993134,1,48 89 54 24 10 4C 89 44 24 18 4C 89 4C 24 20 53 48 83 EC 20 4C 8B 41 20
lua_pushinteger,,0,48 8B 41 10 0F 57 C0 F3 48 0F 2A C2 C7 40 08 03 00 00 00 F3 0F 11 00
lua_pushlstring,0x0071E46C|0x0071F098,2,48 89 5C 24 08 48 89 6C 24 10 48 89 74 24 18 57 48 83 EC 20 4C 8B 49 20
lua_pushstring,,0,48 89 74 24 18 57 48 83 EC 20 48 8B F2 48 8B F9 48 85 D2 75 17
lua_pushthread,0x03994158,1,48 8B 41 10 48 89 08 C7 40 08 08 00 00 00 33 C0 48 8B 51 20
lua_pushvalue,0x0071F100,1,48 83 EC 28 4C 8B D1 E8 ?? ?? ?? ?? 4D 8B 42 10 48 8B 10 49 89 10
lua_pushvfstring,0x036D2CC8|0x036D2D3C,2,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 4C 8B 49 20 49 8B F8
lua_rawequal,0x03993178,1,40 53 48 83 EC 20 45 8B D8 4C 8B D1 E8 ?? ?? ?? ?? 41 8B D3 49 8B CA
lua_rawget,,0,40 53 48 83 EC 20 48 8B D9 E8 ?? ?? ?? ?? 48 8B 53 10 48 83 EA 10
lua_rawgeti,,0,40 53 48 83 EC 20 45 8B D0 48 8B D9 E8 ?? ?? ?? ?? 41 8B D2 48 8B 08
lua_rawset,0x003A0940|0x004C5B90|0x004E4B14|0x005B3CE4|0x006B1C68|0x006B3134|0x006B3548|0x006B3634|0x00720738,9,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 48 8B F9 E8 ?? ?? ?? ??
lua_rawseti,0x00B9C2A4,1,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 45 8B D0 48 8B F9
lua_remove,,0,48 83 EC 28 4C 8B D1 E8 ?? ?? ?? ?? 49 8B 4A 10 48 83 C0 10 48 3B C1
lua_replace,,0,48 89 5C 24 10 48 89 74 24 18 57 48 83 EC 20 8B F2 48 8B D9
lua_resume,,0,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 0F B6 41 0A 48 8B F9 3C 01
lua_setfenv,,0,48 89 5C 24 08 57 48 83 EC 20 48 8B D9 BF 01 00 00 00 E8 ?? ?? ?? ??
lua_setfield,,0,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 30 49 8B D8 48 8B F1
lua_sethook,,0,48 85 D2 74 05 45 85 C0 75 06 45 33 C0 41 8B D0 48 89 51 70
lua_setlocal,0x03996250|0x039962B8,2,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 48 63 42 74 48 8B D9
lua_setmetatable,,0,40 53 48 83 EC 20 48 8B D9 E8 ?? ?? ?? ?? 48 8B 53 10 4C 8B D0
lua_settable,0x0071E7C0,1,40 53 48 83 EC 20 48 8B D9 E8 ?? ?? ?? ?? 4C 8B 43 10 48 8B D0 48 8B CB
lua_settop,,0,85 D2 78 3F 4C 8B 41 18 4C 63 CA 48 8B 51 10 4D 03 C9 4B 8D 04 C8
lua_setupvalue,,0,40 57 48 83 EC 20 4D 63 D0 4C 8B D9 E8 ?? ?? ?? ?? 48 8B F8 83 78 08 06
lua_toboolean,,0,48 83 EC 28 E8 ?? ?? ?? ?? 8B 48 08 85 C9 74 14 83 F9 01 75 05 83 38 00
lua_tocfunction,,0,48 83 EC 28 E8 ?? ?? ?? ?? 83 78 08 06 75 12 48 8B 00 80 78 0A 00 74 09
lua_tointeger,,0,48 83 EC 38 E8 ?? ?? ?? ?? 83 78 08 03 74 17 48 8D 54 24 20 48 8B C8
lua_tolstring,0x0071F6A8|0x017ABDAC|0x036165B0,3,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 49 8B D8 8B F2 48 8B F9
lua_tonumber,,0,48 83 EC 38 E8 ?? ?? ?? ?? 83 78 08 03 74 1A 48 8D 54 24 20 48 8B C8
lua_topointer,0x0071F1F8,1,48 83 EC 28 44 8B D2 4C 8B D9 E8 ?? ?? ?? ?? 44 8B 48 08 41 83 E9 02
lua_tothread,,0,48 83 EC 28 E8 ?? ?? ?? ?? 83 78 08 08 74 07 33 C0 48 83 C4 28 C3
lua_touserdata,,0,48 83 EC 28 E8 ?? ?? ?? ?? 8B 48 08 83 F9 02 74 18 83 F9 07 74 07 33 C0
lua_type,,0,48 83 EC 28 E8 ?? ?? ?? ?? 48 8D 0D ?? ?? ?? ?? 48 3B C1 75 0A
lua_typename,,0,83 FA FF 75 08 48 8D 05 ?? ?? ?? ?? C3 48 63 C2 48 8D 0D ?? ?? ?? ??
lua_xmove,,0,4C 8B D2 4C 8B D9 48 3B CA 74 4F 4D 63 C8 4D 8B C1 49 C1 E0 04
lua_yield,,0,48 89 5C 24 08 57 48 83 EC 20 66 83 79 60 00 48 8B D9 48 63 FA 76 0C
luaopen_base,,0,40 53 48 83 EC 20 BA EE D8 FF FF 48 8B D9 E8 ?? ?? ?? ??
luaopen_debug,0x000F1DB0,1,48 83 EC 28 4C 8D 05 ?? ?? ?? ?? 48 8D 15 ?? ?? ?? ?? E8 ?? ?? ?? ??
luaopen_io,0x00104140,1,48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 48 8D 15 ?? ?? ?? ??
luaopen_math,,0,40 53 48 83 EC 20 4C 8D 05 ?? ?? ?? ?? 48 8B D9 48 8D 15 ?? ?? ?? ??
luaopen_os,0x000F1DB0,1,48 83 EC 28 4C 8D 05 ?? ?? ?? ?? 48 8D 15 ?? ?? ?? ?? E8 ?? ?? ?? ??
luaopen_package,0x0039D998|0x003A3708|0x003AB430|0x003B2DE0|0x003B8AE4|0x003C1428|0x003C2CC8|0x003CDC44|0x003D18F0,9,48 89 5C 24 08 48 89 74 24 10 48 89 7C 24 18 41 56 48 83 EC 20
luaopen_string,,0,40 53 48 83 EC 20 4C 8D 05 ?? ?? ?? ?? 48 8B D9 48 8D 15 ?? ?? ?? ??
luaopen_table,0x000F1DB0,1,48 83 EC 28 4C 8D 05 ?? ?? ?? ?? 48 8D 15 ?? ?? ?? ?? E8 ?? ?? ?? ??
