kcdx_id,valid_from_version,module,rva,signature,last_verified_at_version,verified_by,verified_date,evidence_kind,survival_aob,survival_anchor_string,survival_derives_from,survival_rule,survival_slot_count
45,1.5.1164953,WHGame.dll,0x0041C230,"i32 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
46,1.5.1164953,WHGame.dll,0x00B9CC48,"i32 (ptr L, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
47,1.5.1164953,WHGame.dll,0x00B9CE78,"cstr (ptr L, i32 tp)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
48,1.5.1164953,WHGame.dll,0x00B9D764,"u64 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
49,1.5.1164953,WHGame.dll,0x00B9C1AC,"i32 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
50,1.5.1164953,WHGame.dll,0x00B9C2A4,"void (ptr L, i32 idx, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
51,1.5.1164953,WHGame.dll,0x00B9CAFC,"i64 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
52,1.5.1164953,WHGame.dll,0x00B9D0C0,"ptr (ptr L, u64 sz)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
53,1.5.1164953,WHGame.dll,0x00B9D11C,"void (ptr L, ptr fn, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
54,1.5.1164953,WHGame.dll,0x00ADB058,"cstr (ptr L, i32 idx, cstr fname, i32 szhint)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
55,1.5.1164953,WHGame.dll,0x00ADB44C,"void (ptr L, i32 idx, cstr k)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
56,1.5.1164953,WHGame.dll,0x00A2D840,"void (ptr L, i32 idx, cstr k)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
57,1.5.1164953,WHGame.dll,0x00A2D8B8,"i32 (ptr L, i32 what, i32 data)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
58,1.5.1164953,WHGame.dll,0x00A2DA68,"i32 (ptr L, ptr func, i32 mask, i32 count)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
59,1.5.1164953,WHGame.dll,0x00CAE9A8,"i32 (ptr L, i32 level, ptr ar)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
60,1.5.1164953,WHGame.dll,0x00CAEA88,"i32 (ptr L, cstr what, ptr ar)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
61,1.5.1164953,WHGame.dll,0x01250AC4,"f32 (ptr L, i32 narg)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
62,1.5.1164953,WHGame.dll,0x0144965C,"void (ptr L, i32 nargs, i32 nresults)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
63,1.5.1164953,WHGame.dll,0x016546F8,"i32 (ptr L, i32 obj, cstr e)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
64,1.5.1164953,WHGame.dll,0x013236D0,"void (ptr L, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
65,1.5.1164953,WHGame.dll,0x01323664,void (ptr B),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
66,1.5.1164953,WHGame.dll,0x013E14D8,"i32 (ptr L, ptr reader, ptr dt, cstr chunkname)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
67,1.5.1164953,WHGame.dll,0x00B9C9BC,"cstr (ptr L, i32 narg, ptr len)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
68,1.5.1164953,WHGame.dll,0x00B9CA08,"i64 (ptr L, i32 narg, i64 def)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
69,1.5.1164953,WHGame.dll,0x00B9CAB4,"i64 (ptr L, i32 narg)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
70,1.5.1164953,WHGame.dll,0x00B9CC20,"void (ptr L, i32 sz, cstr msg)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
71,1.5.1164953,WHGame.dll,0x00B9CE94,"void (ptr L, i32 narg)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
72,1.5.1164953,WHGame.dll,0x00B9D8E4,"void (ptr B, cstr s, u64 l)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
73,1.5.1164953,WHGame.dll,0x039930A4,"i32 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
74,1.5.1164953,WHGame.dll,0x039930CC,"i32 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
75,1.5.1164953,WHGame.dll,0x039930E8,"i32 (ptr L, i32 idx1, i32 idx2)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
76,1.5.1164953,WHGame.dll,0x03993060,"cstr (ptr L, i32 funcindex, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
77,1.5.1164953,WHGame.dll,0x03993134,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
78,1.5.1164953,WHGame.dll,0x03993178,"i32 (ptr L, i32 idx1, i32 idx2)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
79,1.5.1164953,WHGame.dll,0x039931C0,"i32 (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
