=== references to DAT_18492b850 (write = assignment of the enumerator) ===
  READ from 0x1804daa39  in FUN_1804daa1c @ 0x1804daa1c
  READ from 0x1804daa4f  in FUN_1804daa1c @ 0x1804daa1c
  READ from 0x1821f8023  in FUN_1804daa1c @ 0x1804daa1c
  READ from 0x1804d8e6a  in FUN_1804d8e14 @ 0x1804d8e14
  READ from 0x1804d8ef2  in FUN_1804d8e14 @ 0x1804d8e14
  READ from 0x1804d8f0e  in FUN_1804d8e14 @ 0x1804d8e14
  READ from 0x1804d8f69  in FUN_1804d8e14 @ 0x1804d8e14
  READ from 0x1804d913d  in FUN_1804d9110 @ 0x1804d9110
  READ from 0x1804d919c  in FUN_1804d9110 @ 0x1804d9110
  READ from 0x1804d9a05  in FUN_1804d99fc @ 0x1804d99fc
  READ from 0x1804d98b9  in FUN_1804d9820 @ 0x1804d9820
  READ from 0x1804d9919  in FUN_1804d9820 @ 0x1804d9820
  READ from 0x1804da4cc  in FUN_1804da4b4 @ 0x1804da4b4
  READ from 0x1804db152  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db1b2  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db1e8  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db22d  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db263  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db2a8  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db30f  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db358  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1804db376  in FUN_1804db0fc @ 0x1804db0fc
  READ from 0x1819782b3  in FUN_181978220 @ 0x181978220
  READ from 0x1804dcc5f  in FUN_1804dcb60 @ 0x1804dcb60
  READ from 0x1804dccf7  in FUN_1804dcb60 @ 0x1804dcb60
  READ from 0x18241c1e8  in FUN_18241c18c @ 0x18241c18c
  READ from 0x1804dce9a  in FUN_1804dce0c @ 0x1804dce0c
  READ from 0x1804dd61a  in FUN_1804dd5e4 @ 0x1804dd5e4
  READ from 0x180ded5c6  in FUN_180ded598 @ 0x180ded598
  READ from 0x1819bb4d9  in FUN_1819bb460 @ 0x1819bb460
  READ from 0x1807ad0c6  in FUN_1807ace9c @ 0x1807ace9c
  READ from 0x1807ad1ad  in FUN_1807ace9c @ 0x1807ace9c
  READ from 0x1807ad269  in FUN_1807ace9c @ 0x1807ace9c
  READ from 0x1807ad38d  in FUN_1807ace9c @ 0x1807ace9c
  READ from 0x1807ad3a7  in FUN_1807ace9c @ 0x1807ace9c
  READ from 0x1807ad3e8  in FUN_1807ace9c @ 0x1807ace9c
  READ from 0x1807add7a  in FUN_1807add58 @ 0x1807add58
  READ from 0x1807aecbc  in FUN_1807aebcc @ 0x1807aebcc
  READ from 0x1807aed9f  in FUN_1807aebcc @ 0x1807aebcc
  READ from 0x1807aeec5  in FUN_1807aebcc @ 0x1807aebcc
  READ from 0x1807aea97  in FUN_1807ae87c @ 0x1807ae87c
  READ from 0x1807aeb5d  in FUN_1807ae87c @ 0x1807ae87c
  READ from 0x1807b0402  in FUN_1807b02e0 @ 0x1807b02e0
  READ from 0x18091f007  in FUN_18091ef5c @ 0x18091ef5c
  READ from 0x18091f042  in FUN_18091ef5c @ 0x18091ef5c
  READ from 0x18091f06c  in FUN_18091ef5c @ 0x18091ef5c
  READ from 0x18091f0ad  in FUN_18091ef5c @ 0x18091ef5c
  READ from 0x18091f0d8  in FUN_18091ef5c @ 0x18091ef5c
  READ from 0x18091f443  in FUN_18091f3fc @ 0x18091f3fc
  READ from 0x18091f498  in FUN_18091f3fc @ 0x18091f3fc
  READ from 0x180920078  in FUN_180920048 @ 0x180920048
  READ from 0x180920098  in FUN_180920048 @ 0x180920048
  READ from 0x180920155  in FUN_180920048 @ 0x180920048
  READ from 0x1809201b0  in FUN_180920048 @ 0x180920048
  READ from 0x1809202f3  in FUN_180920048 @ 0x180920048
  READ from 0x18092046e  in FUN_180920048 @ 0x180920048
  READ from 0x18092039b  in FUN_180920048 @ 0x180920048
  READ from 0x1809203d9  in FUN_180920048 @ 0x180920048
  READ from 0x18092040d  in FUN_180920048 @ 0x180920048
  READ from 0x18092043a  in FUN_180920048 @ 0x180920048
  READ from 0x180af9b5a  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9b83  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9ba3  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9bba  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9ca7  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9ccd  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9cf2  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9d20  in FUN_180af9900 @ 0x180af9900
  READ from 0x180af9d3d  in FUN_180af9900 @ 0x180af9900
  READ from 0x1824fe497  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe4e8  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe511  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe538  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe560  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe593  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe639  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x1824fe66f  in FUN_1824fe46c @ 0x1824fe46c
  READ from 0x18250ccd8  in FUN_18250cbb4 @ 0x18250cbb4
  READ from 0x18250cdbd  in FUN_18250cbb4 @ 0x18250cbb4
  READ from 0x18051c3c6  in FUN_18051c248 @ 0x18051c248
  READ from 0x18051c652  in FUN_18051c248 @ 0x18051c248
  READ from 0x180d1f4b2  in FUN_180d1f338 @ 0x180d1f338
  READ from 0x180d1f4c2  in FUN_180d1f338 @ 0x180d1f338
  READ from 0x180d1f4de  in FUN_180d1f338 @ 0x180d1f338
  READ from 0x18051e7f0  in FUN_18051e6f0 @ 0x18051e6f0
  READ from 0x1821fbd30  in FUN_18051e6f0 @ 0x18051e6f0
